study_doi;study_author_1;study_year;study_journal;virus_family;virus;strain;material;medium;medium_group;medium_include;medium_volume;medium_container;sealed;virus_concentration_initial;temperature_raw;temperature;humidity_raw;humidity;time;value;value_raw;error_low;error_up;estimate;error;sample_size;unit;LOD;titration_unit;comment_data;source;comment_study
10.1007/s12560-008-9001-6;Gundy;2008;Food and Environmental Virology;Coronavirus;FIPV;FIPV_WSU79-1146;Bulk medium;Water + PBS;Water;FALSE;30000;Vial (unspecified volume or material);Unspecified;5 log10TCID50/mL;4;4;NA;NA;240;-0.364;-0.364;-0.577;0.284;mean;standard_deviation?;3;log10Nt/N0;3.7 TCID50/mL;TCID50;dechlorinated tap water, pH = 7.8;Figure 2;also report poliovirus data
10.1007/s12560-008-9001-6;Gundy;2008;Food and Environmental Virology;Coronavirus;FIPV;FIPV_WSU79-1146;Bulk medium;Water + PBS;Water;FALSE;30000;Vial (unspecified volume or material);Unspecified;5 log10TCID50/mL;4;4;NA;NA;360;-0.991;-0.991;-1.37;-0.288;mean;standard_deviation?;3;log10Nt/N0;3.7 TCID50/mL;TCID50;dechlorinated tap water, pH = 7.8;Figure 2;also report poliovirus data
10.1007/s12560-008-9001-6;Gundy;2008;Food and Environmental Virology;Coronavirus;FIPV;FIPV_WSU79-1146;Bulk medium;Water + PBS;Water;FALSE;30000;Vial (unspecified volume or material);Unspecified;5 log10TCID50/mL;4;4;NA;NA;504;-0.529;-0.529;-0.894;-0.199;mean;standard_deviation?;3;log10Nt/N0;3.7 TCID50/mL;TCID50;dechlorinated tap water, pH = 7.8;Figure 2;also report poliovirus data
10.1007/s12560-008-9001-6;Gundy;2008;Food and Environmental Virology;Coronavirus;HCoV-229E;HCoV-229E;Bulk medium;Water + PBS;Water;FALSE;30000;Vial (unspecified volume or material);Unspecified;5 log10TCID50/mL;4;4;NA;NA;0;0;0;-0.192;-0.192;mean;standard_deviation?;3;log10Nt/N0;3.7 TCID50/mL;TCID50;dechlorinated tap water, pH = 7.8;Figure 2;also report poliovirus data
10.1007/s12560-008-9001-6;Gundy;2008;Food and Environmental Virology;Coronavirus;HCoV-229E;HCoV-229E;Bulk medium;Water + PBS;Water;FALSE;30000;Vial (unspecified volume or material);Unspecified;5 log10TCID50/mL;4;4;NA;NA;24;-0.109;-0.109;-0.433;0.27;mean;standard_deviation?;3;log10Nt/N0;3.7 TCID50/mL;TCID50;dechlorinated tap water, pH = 7.8;Figure 2;also report poliovirus data
10.1007/s12560-008-9001-6;Gundy;2008;Food and Environmental Virology;Coronavirus;HCoV-229E;HCoV-229E;Bulk medium;Water + PBS;Water;FALSE;30000;Vial (unspecified volume or material);Unspecified;5 log10TCID50/mL;4;4;NA;NA;72;0.063;0.063;-0.805;-0.04;mean;standard_deviation?;3;log10Nt/N0;3.7 TCID50/mL;TCID50;dechlorinated tap water, pH = 7.8;Figure 2;also report poliovirus data
10.1007/s12560-008-9001-6;Gundy;2008;Food and Environmental Virology;Coronavirus;HCoV-229E;HCoV-229E;Bulk medium;Water + PBS;Water;FALSE;30000;Vial (unspecified volume or material);Unspecified;5 log10TCID50/mL;4;4;NA;NA;144;-0.026;-0.026;-0.667;0.325;mean;standard_deviation?;3;log10Nt/N0;3.7 TCID50/mL;TCID50;dechlorinated tap water, pH = 7.8;Figure 2;also report poliovirus data
10.1007/s12560-008-9001-6;Gundy;2008;Food and Environmental Virology;Coronavirus;HCoV-229E;HCoV-229E;Bulk medium;Water + PBS;Water;FALSE;30000;Vial (unspecified volume or material);Unspecified;5 log10TCID50/mL;4;4;NA;NA;240;-0.13;-0.13;-0.584;0.284;mean;standard_deviation?;3;log10Nt/N0;3.7 TCID50/mL;TCID50;dechlorinated tap water, pH = 7.8;Figure 2;also report poliovirus data
10.1007/s12560-008-9001-6;Gundy;2008;Food and Environmental Virology;Coronavirus;HCoV-229E;HCoV-229E;Bulk medium;Water + PBS;Water;FALSE;30000;Vial (unspecified volume or material);Unspecified;5 log10TCID50/mL;4;4;NA;NA;360;-0.082;-0.082;-0.639;0.242;mean;standard_deviation?;3;log10Nt/N0;3.7 TCID50/mL;TCID50;dechlorinated tap water, pH = 7.8;Figure 2;also report poliovirus data
10.1007/s12560-008-9001-6;Gundy;2008;Food and Environmental Virology;Coronavirus;HCoV-229E;HCoV-229E;Bulk medium;Water + PBS;Water;FALSE;30000;Vial (unspecified volume or material);Unspecified;5 log10TCID50/mL;4;4;NA;NA;504;-0.15;-0.15;-0.894;0.208;mean;standard_deviation?;3;log10Nt/N0;3.7 TCID50/mL;TCID50;dechlorinated tap water, pH = 7.8;Figure 2;also report poliovirus data
10.1007/s12560-008-9001-6;Gundy;2008;Food and Environmental Virology;Coronavirus;FIPV;FIPV_WSU79-1146;Bulk medium;Water + PBS;Water;FALSE;30000;Vial (unspecified volume or material);Unspecified;5 log10TCID50/mL;23;23;NA;NA;0;0;0;-0.023;-0.023;mean;standard_deviation?;3;log10Nt/N0;3.7 TCID50/mL;TCID50;dechlorinated tap water, pH = 7.8;Figure 1;also report poliovirus data
10.1007/s12560-008-9001-6;Gundy;2008;Food and Environmental Virology;Coronavirus;FIPV;FIPV_WSU79-1146;Bulk medium;Water + PBS;Water;FALSE;30000;Vial (unspecified volume or material);Unspecified;5 log10TCID50/mL;23;23;NA;NA;24;-0.358;-0.358;-0.569;-0.17;mean;standard_deviation?;3;log10Nt/N0;3.7 TCID50/mL;TCID50;dechlorinated tap water, pH = 7.8;Figure 1;also report poliovirus data
10.1007/s12560-008-9001-6;Gundy;2008;Food and Environmental Virology;Coronavirus;FIPV;FIPV_WSU79-1146;Bulk medium;Water + PBS;Water;FALSE;30000;Vial (unspecified volume or material);Unspecified;5 log10TCID50/mL;23;23;NA;NA;72;-1.225;-1.225;-1.653;-0.862;mean;standard_deviation?;3;log10Nt/N0;3.7 TCID50/mL;TCID50;dechlorinated tap water, pH = 7.8;Figure 1;also report poliovirus data
10.1007/s12560-008-9001-6;Gundy;2008;Food and Environmental Virology;Coronavirus;FIPV;FIPV_WSU79-1146;Bulk medium;Water + PBS;Water;FALSE;30000;Vial (unspecified volume or material);Unspecified;5 log10TCID50/mL;23;23;NA;NA;144;-2.169;-2.169;-2.948;-1.419;mean;standard_deviation?;3;log10Nt/N0;3.7 TCID50/mL;TCID50;dechlorinated tap water, pH = 7.8;Figure 1;also report poliovirus data
10.1007/s12560-008-9001-6;Gundy;2008;Food and Environmental Virology;Coronavirus;FIPV;FIPV_WSU79-1146;Bulk medium;Water + PBS;Water;FALSE;30000;Vial (unspecified volume or material);Unspecified;5 log10TCID50/mL;23;23;NA;NA;240;-3.599;-3.599;-4.426;-2.802;mean;standard_deviation?;3;log10Nt/N0;3.7 TCID50/mL;TCID50;dechlorinated tap water, pH = 7.8;Figure 1;also report poliovirus data
10.1007/s12560-008-9001-6;Gundy;2008;Food and Environmental Virology;Coronavirus;HCoV-229E;HCoV-229E;Bulk medium;Water + PBS;Water;FALSE;30000;Vial (unspecified volume or material);Unspecified;5 log10TCID50/mL;23;23;NA;NA;0;0;0;-0.018;-0.012;mean;standard_deviation?;3;log10Nt/N0;3.7 TCID50/mL;TCID50;dechlorinated tap water, pH = 7.8;Figure 1;also report poliovirus data
10.1007/s12560-008-9001-6;Gundy;2008;Food and Environmental Virology;Coronavirus;HCoV-229E;HCoV-229E;Bulk medium;Water + PBS;Water;FALSE;30000;Vial (unspecified volume or material);Unspecified;5 log10TCID50/mL;23;23;NA;NA;24;-0.698;-0.698;-0.856;-0.399;mean;standard_deviation?;3;log10Nt/N0;3.7 TCID50/mL;TCID50;dechlorinated tap water, pH = 7.8;Figure 1;also report poliovirus data
10.1007/s12560-008-9001-6;Gundy;2008;Food and Environmental Virology;Coronavirus;HCoV-229E;HCoV-229E;Bulk medium;Water + PBS;Water;FALSE;30000;Vial (unspecified volume or material);Unspecified;5 log10TCID50/mL;23;23;NA;NA;72;-1.401;-1.401;-1.659;-1.161;mean;standard_deviation?;3;log10Nt/N0;3.7 TCID50/mL;TCID50;dechlorinated tap water, pH = 7.8;Figure 1;also report poliovirus data
10.1007/s12560-008-9001-6;Gundy;2008;Food and Environmental Virology;Coronavirus;HCoV-229E;HCoV-229E;Bulk medium;Water + PBS;Water;FALSE;30000;Vial (unspecified volume or material);Unspecified;5 log10TCID50/mL;23;23;NA;NA;144;-3.277;-3.277;-3.822;-2.726;mean;standard_deviation?;3;log10Nt/N0;3.7 TCID50/mL;TCID50;dechlorinated tap water, pH = 7.8;Figure 1;also report poliovirus data
10.1016/0378-1135(94)90024-8;Tennant;1994;Veterinary Microbiology;Coronavirus;CCV;CCV_C54;Bulk medium;VTM + 10% FCS + antibiotics;VTM;TRUE;1000;Unspecified;Unspecified;5.3 log10TCID50/mL;-70;-70;NA;NA;0;5.329;5.329;NA;NA;individual_datapoint;NA;1;log10TCID50/mL;Unspecified;TCID50;no replicate;Figure 1;growth media and fecal material also available
10.1016/0378-1135(94)90024-8;Tennant;1994;Veterinary Microbiology;Coronavirus;CCV;CCV_C54;Bulk medium;VTM + 10% FCS + antibiotics;VTM;TRUE;1000;Unspecified;Unspecified;5.3 log10TCID50/mL;-70;-70;NA;NA;1;4.976;4.976;NA;NA;individual_datapoint;NA;1;log10TCID50/mL;Unspecified;TCID50;no replicate;Figure 1;growth media and fecal material also available
10.1016/0378-1135(94)90024-8;Tennant;1994;Veterinary Microbiology;Coronavirus;CCV;CCV_C54;Bulk medium;VTM + 10% FCS + antibiotics;VTM;TRUE;1000;Unspecified;Unspecified;5.3 log10TCID50/mL;-70;-70;NA;NA;3;5.294;5.294;NA;NA;individual_datapoint;NA;1;log10TCID50/mL;Unspecified;TCID50;no replicate;Figure 1;growth media and fecal material also available
10.1016/0378-1135(94)90024-8;Tennant;1994;Veterinary Microbiology;Coronavirus;CCV;CCV_C54;Bulk medium;VTM + 10% FCS + antibiotics;VTM;TRUE;1000;Unspecified;Unspecified;5.3 log10TCID50/mL;-70;-70;NA;NA;6;4.835;4.835;NA;NA;individual_datapoint;NA;1;log10TCID50/mL;Unspecified;TCID50;no replicate;Figure 1;growth media and fecal material also available
10.1016/0378-1135(94)90024-8;Tennant;1994;Veterinary Microbiology;Coronavirus;CCV;CCV_C54;Bulk medium;VTM + 10% FCS + antibiotics;VTM;TRUE;1000;Unspecified;Unspecified;5.3 log10TCID50/mL;-70;-70;NA;NA;10;4.659;4.659;NA;NA;individual_datapoint;NA;1;log10TCID50/mL;Unspecified;TCID50;no replicate;Figure 1;growth media and fecal material also available
10.1016/0378-1135(94)90024-8;Tennant;1994;Veterinary Microbiology;Coronavirus;CCV;CCV_C54;Bulk medium;VTM + 10% FCS + antibiotics;VTM;TRUE;1000;Unspecified;Unspecified;5.3 log10TCID50/mL;-70;-70;NA;NA;16;4.659;4.659;NA;NA;individual_datapoint;NA;1;log10TCID50/mL;Unspecified;TCID50;no replicate;Figure 1;growth media and fecal material also available
10.1016/0378-1135(94)90024-8;Tennant;1994;Veterinary Microbiology;Coronavirus;CCV;CCV_C54;Bulk medium;VTM + 10% FCS + antibiotics;VTM;TRUE;1000;Unspecified;Unspecified;5.3 log10TCID50/mL;-70;-70;NA;NA;24;4.306;4.306;NA;NA;individual_datapoint;NA;1;log10TCID50/mL;Unspecified;TCID50;no replicate;Figure 1;growth media and fecal material also available
10.1016/0378-1135(94)90024-8;Tennant;1994;Veterinary Microbiology;Coronavirus;CCV;CCV_C54;Bulk medium;VTM + 10% FCS + antibiotics;VTM;TRUE;1000;Unspecified;Unspecified;5.3 log10TCID50/mL;-20;-20;NA;NA;0;5.325;5.325;NA;NA;individual_datapoint;NA;1;log10TCID50/mL;Unspecified;TCID50;no replicate;Figure 1;growth media and fecal material also available
10.1016/0378-1135(94)90024-8;Tennant;1994;Veterinary Microbiology;Coronavirus;CCV;CCV_C54;Bulk medium;VTM + 10% FCS + antibiotics;VTM;TRUE;1000;Unspecified;Unspecified;5.3 log10TCID50/mL;-20;-20;NA;NA;1;4.935;4.935;NA;NA;individual_datapoint;NA;1;log10TCID50/mL;Unspecified;TCID50;no replicate;Figure 1;growth media and fecal material also available
10.1016/0378-1135(94)90024-8;Tennant;1994;Veterinary Microbiology;Coronavirus;CCV;CCV_C54;Bulk medium;VTM + 10% FCS + antibiotics;VTM;TRUE;1000;Unspecified;Unspecified;5.3 log10TCID50/mL;-20;-20;NA;NA;3;5.325;5.325;NA;NA;individual_datapoint;NA;1;log10TCID50/mL;Unspecified;TCID50;no replicate;Figure 1;growth media and fecal material also available
10.1016/0378-1135(94)90024-8;Tennant;1994;Veterinary Microbiology;Coronavirus;CCV;CCV_C54;Bulk medium;VTM + 10% FCS + antibiotics;VTM;TRUE;1000;Unspecified;Unspecified;5.3 log10TCID50/mL;-20;-20;NA;NA;6;4.26;4.26;NA;NA;individual_datapoint;NA;1;log10TCID50/mL;Unspecified;TCID50;no replicate;Figure 1;growth media and fecal material also available
10.1016/0378-1135(94)90024-8;Tennant;1994;Veterinary Microbiology;Coronavirus;CCV;CCV_C54;Bulk medium;VTM + 10% FCS + antibiotics;VTM;TRUE;1000;Unspecified;Unspecified;5.3 log10TCID50/mL;-20;-20;NA;NA;10;3.941;3.941;NA;NA;individual_datapoint;NA;1;log10TCID50/mL;Unspecified;TCID50;no replicate;Figure 1;growth media and fecal material also available
10.1016/0378-1135(94)90024-8;Tennant;1994;Veterinary Microbiology;Coronavirus;CCV;CCV_C54;Bulk medium;VTM + 10% FCS + antibiotics;VTM;TRUE;1000;Unspecified;Unspecified;5.3 log10TCID50/mL;-20;-20;NA;NA;16;3.799;3.799;NA;NA;individual_datapoint;NA;1;log10TCID50/mL;Unspecified;TCID50;no replicate;Figure 1;growth media and fecal material also available
10.1016/0378-1135(94)90024-8;Tennant;1994;Veterinary Microbiology;Coronavirus;CCV;CCV_C54;Bulk medium;VTM + 10% FCS + antibiotics;VTM;TRUE;1000;Unspecified;Unspecified;5.3 log10TCID50/mL;-20;-20;NA;NA;24;3.266;3.266;NA;NA;individual_datapoint;NA;1;log10TCID50/mL;Unspecified;TCID50;no replicate;Figure 1;growth media and fecal material also available
10.1016/0378-1135(94)90024-8;Tennant;1994;Veterinary Microbiology;Coronavirus;CCV;CCV_C54;Bulk medium;VTM + 10% FCS + antibiotics;VTM;TRUE;1000;Unspecified;Unspecified;5.3 log10TCID50/mL;4;4;NA;NA;0;5.268;5.268;NA;NA;individual_datapoint;NA;1;log10TCID50/mL;Unspecified;TCID50;no replicate;Figure 1;growth media and fecal material also available
10.1016/0378-1135(94)90024-8;Tennant;1994;Veterinary Microbiology;Coronavirus;CCV;CCV_C54;Bulk medium;VTM + 10% FCS + antibiotics;VTM;TRUE;1000;Unspecified;Unspecified;5.3 log10TCID50/mL;4;4;NA;NA;8;5.131;5.131;NA;NA;individual_datapoint;NA;1;log10TCID50/mL;Unspecified;TCID50;no replicate;Figure 1;growth media and fecal material also available
10.1016/0378-1135(94)90024-8;Tennant;1994;Veterinary Microbiology;Coronavirus;CCV;CCV_C54;Bulk medium;VTM + 10% FCS + antibiotics;VTM;TRUE;1000;Unspecified;Unspecified;5.3 log10TCID50/mL;4;4;NA;NA;14;4.958;4.958;NA;NA;individual_datapoint;NA;1;log10TCID50/mL;Unspecified;TCID50;no replicate;Figure 1;growth media and fecal material also available
10.1016/0378-1135(94)90024-8;Tennant;1994;Veterinary Microbiology;Coronavirus;CCV;CCV_C54;Bulk medium;VTM + 10% FCS + antibiotics;VTM;TRUE;1000;Unspecified;Unspecified;5.3 log10TCID50/mL;4;4;NA;NA;23;4.961;4.961;NA;NA;individual_datapoint;NA;1;log10TCID50/mL;Unspecified;TCID50;no replicate;Figure 1;growth media and fecal material also available
10.1016/0378-1135(94)90024-8;Tennant;1994;Veterinary Microbiology;Coronavirus;CCV;CCV_C54;Bulk medium;VTM + 10% FCS + antibiotics;VTM;TRUE;1000;Unspecified;Unspecified;5.3 log10TCID50/mL;4;4;NA;NA;38;5.281;5.281;NA;NA;individual_datapoint;NA;1;log10TCID50/mL;Unspecified;TCID50;no replicate;Figure 1;growth media and fecal material also available
10.1016/0378-1135(94)90024-8;Tennant;1994;Veterinary Microbiology;Coronavirus;CCV;CCV_C54;Bulk medium;VTM + 10% FCS + antibiotics;VTM;TRUE;1000;Unspecified;Unspecified;5.3 log10TCID50/mL;4;4;NA;NA;49;4.97;4.97;NA;NA;individual_datapoint;NA;1;log10TCID50/mL;Unspecified;TCID50;no replicate;Figure 1;growth media and fecal material also available
10.1016/0378-1135(94)90024-8;Tennant;1994;Veterinary Microbiology;Coronavirus;CCV;CCV_C54;Bulk medium;VTM + 10% FCS + antibiotics;VTM;TRUE;1000;Unspecified;Unspecified;5.3 log10TCID50/mL;4;4;NA;NA;61;4.975;4.975;NA;NA;individual_datapoint;NA;1;log10TCID50/mL;Unspecified;TCID50;no replicate;Figure 1;growth media and fecal material also available
10.1016/0378-1135(94)90024-8;Tennant;1994;Veterinary Microbiology;Coronavirus;CCV;CCV_C54;Bulk medium;VTM + 10% FCS + antibiotics;VTM;TRUE;1000;Unspecified;Unspecified;5.3 log10TCID50/mL;4;4;NA;NA;72;5.153;5.153;NA;NA;individual_datapoint;NA;1;log10TCID50/mL;Unspecified;TCID50;no replicate;Figure 1;growth media and fecal material also available
10.1016/0378-1135(94)90024-8;Tennant;1994;Veterinary Microbiology;Coronavirus;CCV;CCV_C54;Bulk medium;VTM + 10% FCS + antibiotics;VTM;TRUE;1000;Unspecified;Unspecified;5.3 log10TCID50/mL;4;4;NA;NA;78;4.981;4.981;NA;NA;individual_datapoint;NA;1;log10TCID50/mL;Unspecified;TCID50;no replicate;Figure 1;growth media and fecal material also available
10.1016/0378-1135(94)90024-8;Tennant;1994;Veterinary Microbiology;Coronavirus;CCV;CCV_C54;Bulk medium;VTM + 10% FCS + antibiotics;VTM;TRUE;1000;Unspecified;Unspecified;5.3 log10TCID50/mL;4;4;NA;NA;90;4.636;4.636;NA;NA;individual_datapoint;NA;1;log10TCID50/mL;Unspecified;TCID50;no replicate;Figure 1;growth media and fecal material also available
10.1016/0378-1135(94)90024-8;Tennant;1994;Veterinary Microbiology;Coronavirus;CCV;CCV_C54;Bulk medium;VTM + 10% FCS + antibiotics;VTM;TRUE;1000;Unspecified;Unspecified;5.3 log10TCID50/mL;20;20;NA;NA;0;5.314;5.314;NA;NA;individual_datapoint;NA;1;log10TCID50/mL;Unspecified;TCID50;no replicate;Figure 1;growth media and fecal material also available
10.1016/0378-1135(94)90024-8;Tennant;1994;Veterinary Microbiology;Coronavirus;CCV;CCV_C54;Bulk medium;VTM + 10% FCS + antibiotics;VTM;TRUE;1000;Unspecified;Unspecified;5.3 log10TCID50/mL;20;20;NA;NA;7;5.277;5.277;NA;NA;individual_datapoint;NA;1;log10TCID50/mL;Unspecified;TCID50;no replicate;Figure 1;growth media and fecal material also available
10.1016/0378-1135(94)90024-8;Tennant;1994;Veterinary Microbiology;Coronavirus;CCV;CCV_C54;Bulk medium;VTM + 10% FCS + antibiotics;VTM;TRUE;1000;Unspecified;Unspecified;5.3 log10TCID50/mL;20;20;NA;NA;14;4.623;4.623;NA;NA;individual_datapoint;NA;1;log10TCID50/mL;Unspecified;TCID50;no replicate;Figure 1;growth media and fecal material also available
10.1016/0378-1135(94)90024-8;Tennant;1994;Veterinary Microbiology;Coronavirus;CCV;CCV_C54;Bulk medium;VTM + 10% FCS + antibiotics;VTM;TRUE;1000;Unspecified;Unspecified;5.3 log10TCID50/mL;20;20;NA;NA;22;4.31;4.31;NA;NA;individual_datapoint;NA;1;log10TCID50/mL;Unspecified;TCID50;no replicate;Figure 1;growth media and fecal material also available
10.1016/0378-1135(94)90024-8;Tennant;1994;Veterinary Microbiology;Coronavirus;CCV;CCV_C54;Bulk medium;VTM + 10% FCS + antibiotics;VTM;TRUE;1000;Unspecified;Unspecified;5.3 log10TCID50/mL;20;20;NA;NA;38;3.275;3.275;NA;NA;individual_datapoint;NA;1;log10TCID50/mL;Unspecified;TCID50;no replicate;Figure 1;growth media and fecal material also available
10.1016/0378-1135(94)90024-8;Tennant;1994;Veterinary Microbiology;Coronavirus;CCV;CCV_C54;Bulk medium;VTM + 10% FCS + antibiotics;VTM;TRUE;1000;Unspecified;Unspecified;5.3 log10TCID50/mL;20;20;NA;NA;48;2.654;2.654;NA;NA;individual_datapoint;NA;1;log10TCID50/mL;Unspecified;TCID50;no replicate;Figure 1;growth media and fecal material also available
10.1016/0378-1135(94)90024-8;Tennant;1994;Veterinary Microbiology;Coronavirus;CCV;CCV_C54;Bulk medium;VTM + 10% FCS + antibiotics;VTM;TRUE;1000;Unspecified;Unspecified;5.3 log10TCID50/mL;20;20;NA;NA;60;1.997;1.997;NA;NA;individual_datapoint;NA;1;log10TCID50/mL;Unspecified;TCID50;no replicate;Figure 1;growth media and fecal material also available
10.1016/0378-1135(94)90024-8;Tennant;1994;Veterinary Microbiology;Coronavirus;CCV;CCV_C54;Bulk medium;VTM + 10% FCS + antibiotics;VTM;TRUE;1000;Unspecified;Unspecified;5.3 log10TCID50/mL;20;20;NA;NA;72;0.003;0.003;NA;NA;individual_datapoint;NA;1;log10TCID50/mL;Unspecified;TCID50;no replicate;Figure 1;growth media and fecal material also available
10.1016/j.jaerosci.2017.09.009;Pyankov;2018;Journal of Aerosol Science;Coronavirus;MERS-CoV;MERS-CoV_EMC/2012;Aerosols;DMEM + 2% FCS + 1nM glutamine + antibiotics;CCM;TRUE;NA;NA;NA;Unspecified;28;28;24;24;0;2.81;2.81;2.59;3.01;mean;standard_deviation;> 3;log10TCID50/mL;Unspecified;TCID50;NA;Figure 3;also report droplet size distribution
10.1016/j.jaerosci.2017.09.009;Pyankov;2018;Journal of Aerosol Science;Coronavirus;MERS-CoV;MERS-CoV_EMC/2012;Aerosols;DMEM + 2% FCS + 1nM glutamine + antibiotics;CCM;TRUE;NA;NA;NA;Unspecified;28;28;24;24;0.083333333;1.97;1.97;1.79;2.15;mean;standard_deviation;> 3;log10TCID50/mL;Unspecified;TCID50;NA;Figure 3;also report droplet size distribution
10.1016/j.jaerosci.2017.09.009;Pyankov;2018;Journal of Aerosol Science;Coronavirus;MERS-CoV;MERS-CoV_EMC/2012;Aerosols;DMEM + 2% FCS + 1nM glutamine + antibiotics;CCM;TRUE;NA;NA;NA;Unspecified;28;28;24;24;0.25;1.5;1.5;1.26;1.74;mean;standard_deviation;> 3;log10TCID50/mL;Unspecified;TCID50;NA;Figure 3;also report droplet size distribution
